main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0
bags & luggage,Rucksacks,,,"₹1,635","₹2,725",
bags & luggage,Rucksacks,,,"₹1,634","₹2,723",
bags & luggage,Rucksacks,,,"₹1,018","₹1,696",
bags & luggage,Rucksacks,,,"₹5,998","₹9,996",
bags & luggage,Rucksacks,,,₹976,"₹1,626",
bags & luggage,Rucksacks,,,"₹2,569","₹4,281",
bags & luggage,Rucksacks,,,"₹2,173","₹3,621",
bags & luggage,Rucksacks,,,"₹4,431","₹7,385",
bags & luggage,Rucksacks,,,₹446,₹743,
bags & luggage,Rucksacks,,,"₹4,218","₹7,030",
bags & luggage,Rucksacks,,,"₹1,470","₹2,450",
bags & luggage,Rucksacks,,,₹756,"₹1,260",
bags & luggage,Rucksacks,,,₹329,₹548,
bags & luggage,Rucksacks,,,₹894,"₹1,490",
bags & luggage,Rucksacks,,,₹411,₹685,
bags & luggage,Rucksacks,,,"₹1,980","₹3,300",
bags & luggage,Rucksacks,,,"₹3,409","₹6,110",
bags & luggage,Rucksacks,,,"₹1,018","₹1,696",
bags & luggage,Rucksacks,,,"₹2,053","₹3,421",
bags & luggage,Rucksacks,,,₹447,₹745,
bags & luggage,Rucksacks,,,₹698,"₹1,163",
bags & luggage,Rucksacks,,,"₹4,847","₹8,078",
bags & luggage,Rucksacks,,,"₹2,142","₹3,570",
bags & luggage,Rucksacks,,,"₹5,243","₹8,738",
bags & luggage,Rucksacks,,,₹518,₹863,
bags & luggage,Rucksacks,,,"₹14,494","₹25,975",
bags & luggage,Rucksacks,,,"₹6,734","₹11,223",
bags & luggage,Rucksacks,,,"₹6,656","₹11,093",
bags & luggage,Rucksacks,,,"₹4,463","₹7,438",
bags & luggage,Rucksacks,,,"₹5,459","₹9,783",
bags & luggage,Rucksacks,,,"₹4,612","₹8,265",
bags & luggage,Rucksacks,,,"₹5,063","₹9,073",
bags & luggage,Rucksacks,,,₹718,"₹1,287",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹790,"₹1,501",
bags & luggage,Rucksacks,,,"₹1,469","₹2,960",
bags & luggage,Rucksacks,,,₹689,"₹1,844",
bags & luggage,Rucksacks,,,"₹2,847","₹6,174",
bags & luggage,Rucksacks,,,₹520,"₹1,515",
bags & luggage,Rucksacks,FREE,Usually dispatched in 5 to 6 days.,"₹1,103","₹2,206",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹6,896","₹11,493",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹995,"₹1,658",
bags & luggage,Rucksacks,,,"₹7,514","₹12,523",
bags & luggage,Rucksacks,,,"₹1,467","₹2,445",
bags & luggage,Rucksacks,,,"₹4,247","₹7,078",
bags & luggage,Rucksacks,,,"₹5,438","₹9,063",
bags & luggage,Rucksacks,,,"₹7,575","₹12,625",
bags & luggage,Rucksacks,,,"₹1,371","₹2,285",
bags & luggage,Rucksacks,,,₹920,"₹1,533",
bags & luggage,Rucksacks,,,"₹3,225","₹5,375",
bags & luggage,Rucksacks,,,"₹3,533","₹5,888",
bags & luggage,Rucksacks,,,"₹5,057","₹8,428",
bags & luggage,Rucksacks,,,"₹6,360","₹10,600",
bags & luggage,Rucksacks,,,"₹8,233","₹13,721",
bags & luggage,Rucksacks,,,"₹5,072","₹8,453",
bags & luggage,Rucksacks,,,"₹4,456","₹7,426",
bags & luggage,Rucksacks,,,₹807,"₹1,345",
bags & luggage,Rucksacks,,,"₹3,281","₹5,468",
bags & luggage,Rucksacks,,,₹784,"₹1,306",
bags & luggage,Rucksacks,,,"₹1,659","₹2,765",
bags & luggage,Rucksacks,,,"₹1,459.72","₹2,431",
bags & luggage,Rucksacks,,,₹899,"₹2,999",
bags & luggage,Rucksacks,,,₹899,"₹2,999",
bags & luggage,Rucksacks,,,₹899,"₹2,500",
bags & luggage,Rucksacks,,,"₹1,699","₹4,400",
bags & luggage,Rucksacks,,,"₹1,429","₹2,499",
bags & luggage,Rucksacks,,,₹699.99,"₹2,199",
bags & luggage,Rucksacks,,,₹699.99,"₹2,199",
bags & luggage,Rucksacks,,,₹699.99,"₹2,199",
bags & luggage,Rucksacks,,,₹699.99,"₹2,199",
bags & luggage,Rucksacks,,,"₹1,899","₹4,499",
