,c0,c1,price
0,-1455.7158315073998,-205.77576595321383,
1,-735.5302236860497,268.340428840556,125.0
2,783.2267333721592,174.22613462464813,
3,-1108.9847155832188,78.26841272079945,
4,-1204.5032837183878,368.85377253909127,
5,777.141791742794,-228.61043714230638,220.0
6,784.9565897838124,349.45210876548055,138.0
7,779.4673568557821,-226.7588393490621,
8,-1438.1214868340828,369.85063857658156,339.0
9,777.026894856821,-228.37663120446285,
10,-1444.550159568781,-207.89302612713368,
11,-1408.9890359004924,76.85018217403702,
12,-1411.822020797235,77.3106051087736,200.0
13,-1444.2892516696,-207.06836380778765,
14,-741.6018564769026,-214.46787853521485,
15,-1288.6352124428395,-208.5409078529535,
16,776.4544994468674,-229.58619209670243,
17,-1147.5284343787282,74.14859552211868,
18,779.6006551741774,-227.65744884342706,274.0
19,777.0532071662398,-228.9207681644428,200.0
20,781.3712765232451,-222.0879834607295,
21,777.5848309195477,-228.38901936441692,61.0
22,-1412.5213190506367,-207.84157166897748,
23,-1442.8250172786559,702.035353115232,
24,-1355.5971467787494,156.43833893774644,
25,776.1401164366623,-229.91923340391176,
26,-1349.8462225413455,-206.784158004039,
27,781.3888740370418,136.03074905109912,
28,783.1894817451324,227.256124000511,
29,776.9403725697223,-229.16589058450066,
30,-1345.8356818784425,157.46853591864624,
31,783.3444372947056,137.26082843367794,
32,781.0362731764682,225.80250484987457,
33,780.7259004823491,134.8430953985999,
34,783.6525165454049,136.83405603342405,
35,776.2600167166089,-229.66644384841422,
36,-1427.945884479661,-206.37763389086746,
37,779.4766354052502,-227.49060039007554,
38,-1412.0780717962896,-207.61089627750673,
39,-1406.7840166754845,338.5879370522152,
40,777.13192138747,-228.4435889544478,
41,-1443.0868676741588,-206.36237178821114,
42,777.5781899386951,-227.94498541379616,
43,776.4457973059053,-229.6188387680163,
44,-1412.7738868247616,66.42342579800993,150.0
45,-1452.7605741931081,-206.8972335551508,148.0
46,777.0958595763935,-229.57385829852294,
47,-1443.935257711018,-206.92244024658882,
48,-1442.8267015374417,702.0641700143175,75.0
49,-1411.7506653966818,-206.89438117584956,
50,-1288.5743625688056,156.36286963964696,
51,-1441.5087145519858,65.73225187200231,300.0
52,777.1517599106518,-228.64833409659397,
53,-1412.5604988320079,-207.95393089340575,
54,777.8712929569602,-228.77881991578337,329.0
55,-1438.4268604385377,158.06948773256735,
56,777.9983827095682,-227.99724748338699,
57,-1288.4697147478378,153.30048132597622,
58,-1405.8133825619816,158.1063520846155,200.0
59,-1108.297213436069,58.91321577225551,
60,794.3056889156251,1557.7502116498051,
61,785.0990618254746,664.007947125383,
62,778.6340192746906,2.742931047238243,231.0
63,-1416.1296304161594,-207.43384248403643,170.0
64,-1070.140309298023,39.266950429402655,
65,784.8054602299745,290.25008982422446,
66,776.6019147109535,-228.99675537251713,
67,784.6277813501985,289.36869070609526,199.0
68,777.7920256703866,-228.5402775662049,
69,-1409.0774967854456,-205.552840778461,
70,777.2960870460197,-228.96518329753346,
71,776.3141580758386,-228.11643216164506,220.0
72,-1265.6333418229522,290.2123350149198,
73,785.6594234751973,375.98983967357844,
74,-1409.7746905952522,-206.0553251320167,125.0
75,776.9936711156162,-229.20485731272777,
76,785.3535225612949,632.2969089429001,
77,-1409.57223937107,51.57608580499911,401.0
78,-1406.8349717365825,301.6575970310492,130.0
79,776.4061967562087,-229.08833970126554,
80,-1412.3576715316083,-206.87750948572608,
81,-1461.881004918591,-206.8303158328712,
82,-1455.1943635720336,47.01569863881786,138.0
83,-1421.464811504774,639.8929481769243,258.0
84,779.6472928872507,26.12903057168777,
85,781.3858857075152,110.52758477149125,
86,-1347.3118660851135,-36.220340482787805,
87,776.337260836019,-229.24022904010496,
88,861.7492236408252,8245.322553098624,
89,776.5185454905346,-228.81496847177596,
90,-1443.7121309190143,-207.46763037875482,
91,779.6481675423682,-227.97238198941454,68.0
92,779.6225153620695,-227.99649456995454,174.0
93,779.0056486708444,-4.334034159470635,189.0
94,-1291.8916907782393,-208.3421600080296,
95,779.7040556737685,2.0450286885051474,120.0
96,-1444.5267518069616,-207.61631173868685,
97,776.989755000615,-228.65837528585294,
98,787.7617802586598,594.2643170876235,
99,-1289.4903907071293,37.76544753093238,1367.0
100,-1112.4271731071099,-209.49610067988831,180.0
101,784.3434689241095,264.4606826958927,75.0
102,-1442.077990239512,-206.65417915579621,61.0
103,784.7317230410489,345.31484676409025,375.0
104,-1211.4672271706693,7988.663406557027,
105,-1290.183271207411,-207.31381116320009,160.0
106,779.6603385878345,-15.130679368760369,
107,-1411.9480807828713,-207.58163386218484,
108,-1411.2682117061834,-206.41218975675582,
109,-734.4796519896836,606.4060527283174,61.0
110,784.4022348795819,264.5987766767344,71.0
111,-741.8057707998368,-213.34087833985808,
112,-1352.2574169882234,-208.11420828202256,
113,-1414.142257208684,38.38014786106096,
114,-1438.8175060349527,40.47572947714868,
115,776.8003773596121,-228.8708256664751,
116,-1458.1124548139744,-207.59998079225724,
117,-1409.5661617904377,-206.45102205879195,
118,-1228.5157344873787,119.4693338451048,184.0
119,778.074578460507,-228.5745605930848,
120,779.6513589037253,-227.90993059001474,
121,776.1455320402788,-228.96621888260063,
122,779.4529825126104,-227.68338050647554,102.0
123,-1070.3686110241524,-210.20252861899905,
124,782.5494919649506,100.46976990011015,
125,-737.2523059715223,33.30274274285209,170.0
126,777.8762106646192,-227.85847813132543,
127,776.2872935267634,-229.63278107847546,
128,795.6977176792388,1411.665640743197,350.0
129,776.757552005097,-228.91658967144866,
130,782.8407738867004,100.5047071038827,130.0
131,-1407.3109362841994,282.99701552374387,81.0
132,777.1868910874146,-228.52180959666805,225.0
133,776.877126735437,-227.8592727911381,
134,-1411.5810701799717,-206.80681783331264,
135,793.5085142337159,1410.0941081475314,
136,-1416.3256998154961,-207.18476909706774,
137,786.8289027951707,591.8010083418674,
138,786.0978805310542,592.0720958273796,75.0
139,778.9800534036441,-228.2298973181184,
140,-1292.2919221663788,-209.20037731746652,
141,-1268.1858887126393,119.54157550849862,
142,-1415.4460566410787,-206.42221560686286,749.0
143,-1292.3805826017,-208.44638382565876,
144,-1410.4128416883927,-207.93205332620062,
145,784.1803364422595,346.70723772952573,599.0
146,779.1079208699439,-228.13675745116532,
147,781.28074018362,262.7255778252346,
148,-1067.0088265652353,36.7874107424108,
149,-1352.7114801037842,-208.05426948146552,
150,779.7364427273702,150.4042132737141,249.0
151,792.8348200084755,1410.4137221315195,200.0
152,-1391.1603343670447,-207.2203016100033,177.0
153,778.6762823735554,16.296221659442622,231.0
154,-1066.328379863474,274.2664675640734,
155,-737.6352179605936,270.38434581565053,450.0
156,-1392.0490728713385,-207.32338660664757,
157,777.0096952558146,-228.93321051123658,
158,777.9031218389185,-228.45649824075866,
159,780.9679104759672,94.83969977127714,
160,781.2137811354197,255.57354635170896,
161,777.8544617047114,-228.40894709507927,
162,785.0317818906512,328.7542671837885,
163,777.5983043371693,-228.19786503957837,187.0
164,780.7916432991786,88.08470743463678,161.0
165,-1450.8447951643343,-206.9125568641007,206.0
166,-1408.2257105729655,-206.2607409000026,89.0
167,780.1259075998283,88.82009642450637,110.0
168,779.8455128731141,-227.44633185086644,
169,-1426.5450806367696,110.53767718756319,
170,781.673447654574,81.12104399542358,
171,-1458.228012941046,-207.43758243288477,
172,-1186.560906564627,10558.723995804898,
173,-1411.9619866369667,-207.92909456137392,
174,-1441.9484500467386,-206.57913180094047,
175,-1429.640043649459,15.596683392480637,320.0
176,-1420.975427755473,562.6955003706132,800.0
177,777.9638729240144,-225.98363094648255,120.0
178,-1401.6467108760535,-206.80939851776193,
179,788.5882662893877,695.6062938556181,
180,783.9958147227591,233.95846469022692,439.0
181,-737.3543366967823,94.47855786210553,148.0
182,776.3013510088273,-227.8129480604282,99.0
183,-1409.8277681135537,-206.79625652083016,
184,-1288.2629820583106,-208.62769753908597,
185,-1283.9649546683384,561.6870429880245,
186,-1412.1861864270359,-207.20488592282481,
187,-1454.0868956510787,101.51004741244562,
188,-1441.0955298339063,-206.9590496668858,
189,779.4931432798857,-227.64732621527358,179.0
190,777.236251388805,-228.9384941209965,468.0
191,779.1394345513396,-227.80254099493925,
192,780.1914040136016,155.85568996416075,
193,-1410.1774460260858,23.343369700336474,89.0
194,-1111.4777603925418,-209.71078335198538,
195,780.3309501405136,2.6582662376872754,52.0
196,782.3459617861374,80.61020540479188,
197,777.1321849116969,-228.68768942105842,
198,779.6858101898252,-227.14786045241988,
199,-1413.655799637842,23.37929978023425,
200,779.1035048210155,-228.12522541215182,99.0
201,-1442.7032258049503,-206.4136441323386,
202,779.2955852267233,-227.6880290365445,
203,-1334.2586241763127,-207.6267640260939,215.0
204,-1409.5771153819678,-207.76043013157937,
205,783.3193736790174,234.01970446712855,
206,779.7164104104626,79.80804861254519,
207,-1281.8506945565955,561.8962207083152,
208,780.126881948319,-225.89506915919557,
209,778.6465537351409,-228.25988467822685,401.0
210,777.8267955584392,-228.67415924527998,99.0
211,777.8176211753797,-228.23084274737795,128.0
212,782.466052377046,75.38273941857362,
213,792.229653188418,1135.8488004803123,
214,-1452.6654438235557,323.03436831402666,
215,-1443.3384893363095,-206.3940770263913,
216,779.5116321598546,65.2047373271952,199.0
217,-1288.5491006570085,86.02638797845474,
218,-1441.189145194811,87.71889098321918,55.0
219,-1441.9984770480417,13.568331819307694,
220,-741.5676032105181,-213.25814378237175,
221,778.6902798098839,-34.61033156380478,180.0
222,-1446.882195445173,86.61118987226932,
223,-1385.276080801557,527.5393132632096,
224,777.8296878574525,-229.31649031078118,174.0
225,777.5769966636929,-228.41369826576238,
226,-1457.0021492497453,1.5683132500866874,
227,778.9414903819516,64.85324537194926,150.0
228,-737.8560783754953,77.14530033807515,
229,-1270.5315897260707,10.158629913118748,249.0
230,-741.8653931231369,-213.50879845099232,
231,-1451.2469404665405,-205.97096602654054,150.0
232,778.3816321732348,-40.681694900549054,197.0
233,778.2708285679962,-228.4126744592426,110.0
234,-1399.2641239155823,-207.139580048094,
235,-1458.0156454611665,-207.4395646837215,
236,778.0364050001732,-227.78346959111116,1050.0
237,781.8239913756859,133.33697938133074,
238,779.2165875139809,-227.52054561441764,160.0
239,777.8128983673929,-228.56356613438925,463.0
240,781.6048561476645,194.54500946945262,210.0
241,-1454.1385691826108,75.4857131597917,
242,-735.1081423008376,491.5679454987604,
243,784.0746349558077,475.81792394106174,
244,-1444.196794808967,-207.36000590012767,223.0
245,780.7411280100981,54.28454527757109,160.0
246,-739.6566973936771,-212.1909337482311,
247,-1388.9043417996986,74.68253856953437,
248,-1428.3428993365294,-7.2186093603997925,200.0
249,780.853229790591,-16.990231222214767,
250,779.6932314683916,52.82496501451009,280.0
251,776.708955977461,-229.20999076902098,
252,-1444.5029841693172,-207.36706303132377,
253,787.9464416296812,617.9936740060087,334.0
254,776.6911401390591,-229.0899002318284,
255,-738.4671946704487,208.53553100705258,
256,-1442.1687397552546,-207.24222377557095,
257,-1345.3040381629953,496.2428289976673,
258,785.7871090657202,477.54286729197344,173.0
259,-1444.216688839125,-207.9519442197866,135.0
260,776.7946945617616,-228.8162373173323,
261,-1452.143733310859,-207.29040914334567,179.0
262,779.8024535397044,53.13735128644361,249.0
263,778.1924506172543,-32.39409652514066,
264,783.4537154807333,195.53527674844463,71.0
265,-1415.5374881509338,1201.4696191490364,
266,777.0063453641255,-228.64668340674874,200.0
267,790.3215312407112,1179.2235833449045,200.0
268,-1409.5592942315195,-207.172711422551,
269,785.9346917838265,477.4787784650846,122.0
270,781.2783498612603,-17.4969856388945,
271,-1448.5125224061474,144.65572323148774,275.0
272,-1441.6693042195116,-9.736312796871008,
273,785.229069473099,336.04152929626787,
274,-1443.7696494954077,-206.82057240623644,
275,-1112.5320900048798,-209.8873340610197,
276,-1407.709432652508,3.1499191205804604,
277,-1105.9049664159918,285.3069376526066,110.0
278,-1451.3113070689312,-206.0467647344309,
279,776.7885729900039,-229.47512485314218,
280,-1441.075356743484,-206.40887211085845,
281,776.6721481630032,-229.46586867171456,
282,776.9405638479651,-228.73398318573987,
283,782.2922240725603,-15.261718958320897,192.0
284,-1289.4028718358682,-207.05190945102592,
285,-1412.262434204997,74.43138476439944,
286,779.8168622151422,-16.30984678241839,
287,777.1681991828738,-228.9600375442974,375.0
288,779.5027871612987,53.67208640570057,
289,780.2522021075047,125.31005247992334,500.0
290,784.0868337433109,475.08129533038624,
291,-1350.1368754077862,-204.66539559555963,
292,781.6542253735655,-17.23142241130174,75.0
293,-1463.1615378917832,-205.68334672037608,
294,-1443.997249868628,-207.23656206776235,
295,797.0565930798882,1715.2074579664536,
296,779.1461186927573,-20.19577511273336,
297,-1429.6364383973466,-206.3774625336164,
298,-1438.9403809843423,72.4127196429467,
299,780.5068536319603,118.96102939132066,146.0
300,-1292.00449493266,-209.1759498045757,
301,776.3204164494601,-229.13601879921097,
302,-1431.283416863228,-207.11847257121974,251.0
303,-1358.2016955627944,-3.1457762825069158,
304,777.0112127392373,-229.32248014001723,
305,782.3634162581183,46.71484460540259,
306,-1408.5872064361217,126.29622640512105,
307,778.0618588777804,-227.87740234812622,
308,-1468.4144285140337,-207.15086426268834,
309,779.8862508958589,38.22309202408599,
310,-1415.9042843000918,-207.46894623158124,156.0
311,-1379.7306628527642,-20.380493103218594,55.0
312,-1342.3312573119538,-208.4352647338068,
313,777.9495525925186,-228.98942223151744,
314,780.9810786916272,171.43429866638814,
315,779.5421659724309,38.57694014681421,
316,-1291.5015178626293,-208.8197750359094,
317,-1407.4632868131382,193.52242570129695,350.0
318,778.3321675504486,-228.60897842649987,490.0
319,-1455.1810466316836,60.25876588538296,
320,-1441.5687001833744,59.8118747710439,
321,-1444.4950711533336,-207.8116778644016,
322,779.5819529484586,-27.77201551932878,
323,-1427.5813399292083,-6.387554412541909,
324,783.8895719996249,438.1661981274446,
325,779.070090749698,105.48242326916431,89.0
326,776.6097588100854,-229.2722605187058,
327,776.362706777085,-229.58542674191793,
328,-1422.7099166877042,61.810909994360586,
329,781.9390181805621,171.41765498087085,
330,776.5092830435894,-229.69674133998336,120.0
331,778.9161712238367,37.768638623987464,
332,779.5612743359892,-227.5966066930248,
333,779.3535546385506,-28.768428289761584,
334,-1443.817508766472,-206.97269258779247,
335,809.4512158606393,3104.285484372833,
336,-1452.8091991036422,-207.8445887354891,
337,776.684499467772,-228.98662189365862,71.0
338,-1289.0272399020903,-35.877201458853655,249.0
339,782.9161075758052,171.61525810611795,120.0
340,-1416.68440074221,-207.71127185387618,
341,779.4741389802282,-227.731477231898,
342,777.8321886021256,38.333352675006644,220.0
343,-1346.8374641745088,259.5895475871905,
344,783.1902022488723,437.85658307349513,231.0
345,782.3591002423485,40.03879641044768,
346,777.5638882605507,-228.2163528599674,189.0
347,-1418.5784907474472,192.61895453673438,130.0
348,-1272.6031605964856,-209.05448597460105,
349,-1416.3958884820554,-207.51892759898107,281.0
350,-1410.8558272830649,-206.62847573851263,
351,779.8630136032982,38.172312524621354,
352,-1448.812179725897,125.99030008978444,
353,-1435.9175405363928,-14.179192966663257,500.0
354,778.5249096479884,-29.393352864374897,
355,-1428.3768170210856,-205.89586516169751,
356,-1461.7199654060573,-206.72947623625055,
357,-1407.81592512895,122.31488666598416,
358,778.7431339600408,-32.59135242120923,
359,781.9955899944438,-29.63437983614067,
