,house_rules,host_since,host_response_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price,family,pool,luxury,private,studio,len_amenities,PCA
3699,False,2016,207.87734241908007,1.0,1.0,229.1060070671378,-34.062490000000004,151.11561,True,4,1.0,2.0,2.0,0.0,0.0,4,16.0,1,224,22,22,98.0,10.0,1,1,0,7.67,125,False,False,False,False,False,46,780.6079955490571
798,True,2014,207.87734241908007,4.0,4.0,289.22222222222223,-33.8957,151.10296,True,8,3.0,4.0,4.0,0.0,160.0,4,24.0,2,200,6,5,88.0,9.0,3,3,0,0.48,125,False,False,False,False,False,22,780.5980658790938
5927,False,2017,207.87734241908007,1.0,1.0,244.88888888888889,-33.89646,151.27068,True,4,2.0,2.0,2.0,316.0,132.0,1,0.0,4,156,66,48,95.0,10.0,1,1,0,3.23,125,False,False,False,False,False,35,-1408.6811308544281
2733,False,2014,207.87734241908007,4.0,4.0,247.59587955625992,-33.90341,151.23211,True,2,1.0,1.0,1.0,160.0,80.0,1,0.0,3,365,35,2,95.0,9.0,4,4,0,0.61,125,False,False,False,False,False,26,-1288.7542259657707
5646,True,2015,207.87734241908007,2.0,2.0,210.69677419354838,-33.88825,151.15657,True,4,1.0,1.0,2.0,0.0,68.0,1,0.0,1,68,12,12,93.0,10.0,2,2,0,2.37,125,False,False,False,False,False,30,780.6024515969124
364,True,2015,207.87734241908007,1.0,1.0,202.7209026128266,-33.75316,151.29006,True,4,1.0,2.0,3.0,132.0,40.0,4,16.0,3,200,3,1,93.0,10.0,1,1,0,0.07,125,False,False,False,False,False,15,780.6197954925665
5540,False,2015,207.87734241908007,1.0,1.0,237.06749555950267,-33.85752,151.17183,True,2,1.0,1.0,1.0,200.0,52.0,1,0.0,2,159,163,43,95.0,10.0,1,1,0,3.5,125,False,False,False,False,False,25,780.588776249007
2959,False,2017,207.87734241908007,1.0,1.0,207.9090909090909,-33.89803,151.19856,True,2,1.0,1.0,1.0,400.0,48.0,2,68.0,1,122,22,19,95.0,10.0,1,1,0,1.35,125,False,False,False,False,False,62,-1108.7651663034646
4088,False,2018,167.73684210526315,1.0,1.0,190.42857142857142,-33.91433,151.24546999999998,True,4,1.0,2.0,2.0,280.0,136.0,1,0.0,5,180,39,27,94.0,10.0,1,1,0,2.35,125,False,False,False,False,False,18,780.5984363992484
5692,False,2012,207.87734241908007,3.0,3.0,238.0,-33.89356,151.26249,True,2,1.0,1.0,1.0,320.0,64.0,2,32.0,2,334,85,22,90.0,9.0,3,3,0,1.52,125,False,False,False,False,True,35,-1228.7601899560934
2516,True,2017,207.87734241908007,8.0,8.0,125.0,-33.92133,151.25255,True,2,1.0,1.0,1.0,160.0,76.0,2,20.0,3,0,2,1,100.0,10.0,1,1,0,0.16,125,False,False,False,False,False,17,780.6253483567128
9450,False,2017,207.87734241908007,1.0,1.0,192.99492385786803,-33.89233,151.25337,True,4,1.0,1.0,2.0,200.0,72.0,2,24.0,2,110,42,33,95.0,10.0,1,1,0,2.33,125,False,False,True,False,False,29,780.6211816680602
6461,False,2019,207.87734241908007,1.0,1.0,207.10526315789474,-33.75357,150.69048999999998,True,6,2.0,2.0,3.0,640.0,84.0,1,0.0,3,167,11,11,95.0,10.0,1,1,0,2.68,125,False,False,False,False,False,16,780.604077017498
465,False,2019,207.87734241908007,1.0,1.0,190.49040307101728,-33.874590000000005,151.20381,False,2,1.0,1.0,1.0,0.0,20.0,1,16.0,3,39,5,5,96.0,10.0,1,0,1,1.38,125,False,False,False,False,False,18,-1408.6865561229868
4101,False,2018,207.87734241908007,14.0,14.0,255.36666666666667,-33.89712,151.17694,True,4,1.0,1.0,2.0,400.0,64.0,4,0.0,7,133,7,7,100.0,10.0,13,13,0,1.52,125,False,False,False,False,False,28,-1288.730562747243
3930,False,2018,207.87734241908007,1.0,1.0,166.25,-33.73174,151.30091000000002,False,2,1.0,1.0,1.0,120.0,60.0,2,40.0,7,331,11,11,91.0,10.0,1,0,1,1.76,125,False,False,False,False,False,51,-1440.6685395706813
361,False,2015,207.87734241908007,6.0,6.0,217.50485436893203,-33.87677,151.27673,True,2,1.0,1.0,1.0,560.0,48.0,1,0.0,5,316,76,27,99.0,9.0,6,2,4,2.38,125,False,False,False,False,False,30,-1288.7437743809714
5908,False,2013,207.87734241908007,1.0,1.0,247.59587955625992,-33.784009999999995,151.18053999999998,True,5,2.0,3.0,3.0,200.0,200.0,4,20.0,7,299,18,3,93.0,10.0,1,1,0,0.24,125,False,False,False,False,False,25,780.6173058982481
3008,False,2011,207.87734241908007,3.0,3.0,178.59622641509435,-33.874340000000004,151.22608,True,2,1.0,1.0,2.0,160.0,65.0,2,20.0,8,109,64,35,98.0,10.0,3,3,0,3.4,125,False,False,False,False,True,35,-1418.6747874836474
9493,False,2017,207.87734241908007,1.0,1.0,182.41509433962264,-33.90217,151.21276,True,2,1.0,1.0,1.0,0.0,27.0,1,0.0,7,5,2,2,100.0,9.0,1,1,0,0.36,125,False,False,False,False,False,15,-1368.6795082379992
3804,False,2017,207.87734241908007,3.0,3.0,202.7209026128266,-34.06188,150.82332,True,4,2.0,2.0,2.0,280.0,96.0,2,20.0,2,66,5,5,88.0,10.0,3,3,0,1.42,125,False,False,False,False,False,28,780.6054209358995
2218,False,2018,207.87734241908007,14.0,14.0,255.36666666666667,-33.897079999999995,151.17524,True,4,1.0,1.0,2.0,400.0,64.0,4,0.0,7,127,2,2,90.0,10.0,13,13,0,0.49,125,False,False,False,False,False,28,-1288.733363693279
