,date,nofsales,L7,L14,L21,L91,MA8,holiday,day,weekday,month,weekend,firstdays,lastdays,middledays,odd,December,season_autumn,season_spring,season_summer,season_winter,quarter_q1,quarter_q2,quarter_q3,quarter_q4,sumwin_s,sumwin_w,week,montlyaverage,weekdailyaverage,dailyaverage,weeklyaverage,predict,error,abserror,ape
3889,2017-10-01,0,0.0,0.0,2.0,2.0,8.75,0,1,6,10,True,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,0.6634615384615384,10.607655502392344,10.607655502392344,0,0,0,0.0
3890,2017-10-02,1,2.0,18.0,8.0,16.0,8.75,0,2,0,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.052884615384615,12.382775119617225,12.382775119617225,6,-5,5,1.4285693877580177
3891,2017-10-03,12,17.0,12.0,6.0,9.0,8.625,0,3,1,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.607655502392344,11.923444976076555,12.382775119617225,10,2,2,0.1818180991735913
3892,2017-10-04,17,13.0,18.0,13.0,6.0,8.0,0,4,2,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,12.382775119617225,13.038277511961722,12.382775119617225,12,5,5,0.3448274673008733
3893,2017-10-05,11,14.0,17.0,8.0,6.0,8.5,0,5,3,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,11.923444976076555,15.524038461538462,12.382775119617225,11,0,0,0.0
3894,2017-10-06,15,10.0,16.0,18.0,10.0,8.125,0,6,4,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,13.038277511961722,0.6634615384615384,12.382775119617225,12,3,3,0.22222213991772596
3920,2017-11-01,19,12.0,13.0,17.0,13.0,16.625,0,1,2,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,12.382775119617225,10.607655502392344,10.607655502392344,15,4,4,0.2352940484429269
3921,2017-11-02,19,12.0,11.0,7.0,11.0,17.5,0,2,3,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,11.923444976076555,12.382775119617225,10.607655502392344,14,5,5,0.30303021120296625
3922,2017-11-03,20,20.0,10.0,18.0,15.0,18.375,0,3,4,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,13.038277511961722,11.923444976076555,10.607655502392344,16,4,4,0.2222221604938443
3923,2017-11-04,34,50.0,17.0,19.0,21.0,18.375,0,4,5,11,True,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,15.524038461538462,13.038277511961722,10.607655502392344,28,6,6,0.19354835587929742
3924,2017-11-05,2,0.0,0.0,0.0,1.0,16.375,0,5,6,11,True,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,0.6634615384615384,15.524038461538462,10.607655502392344,2,0,0,0.0
3925,2017-11-06,15,21.0,18.0,16.0,14.0,16.625,0,6,0,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,10.052884615384615,0.6634615384615384,12.382775119617225,13,2,2,0.1428570918367529
3950,2017-12-01,20,25.0,29.0,19.0,14.0,14.25,0,1,4,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,13.038277511961722,10.607655502392344,10.607655502392344,18,2,2,0.1052631301939131
3951,2017-12-02,31,32.0,39.0,37.0,22.0,13.625,0,2,5,12,True,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,15.524038461538462,12.382775119617225,10.607655502392344,29,2,2,0.0666666555555574
3952,2017-12-03,2,0.0,1.0,0.0,2.0,13.5,0,3,6,12,True,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,0.6634615384615384,11.923444976076555,10.607655502392344,1,1,1,0.6666644444518518
3953,2017-12-04,13,17.0,22.0,17.0,8.0,13.75,0,4,0,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,10.052884615384615,13.038277511961722,12.382775119617225,13,0,0,0.0
3954,2017-12-05,18,11.0,19.0,8.0,10.0,13.25,0,5,1,12,False,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,10.607655502392344,15.524038461538462,12.382775119617225,13,5,5,0.3225805411030513
3955,2017-12-06,12,12.0,21.0,25.0,11.0,14.125,0,6,2,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,12.382775119617225,0.6634615384615384,12.382775119617225,14,-2,2,0.15384609467457896
3981,2018-01-01,0,1.0,13.0,20.0,1.0,0.5,1,1,0,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,10.052884615384615,10.607655502392344,10.607655502392344,1,-1,1,1.9999800001999979
3982,2018-01-02,1,0.0,14.0,22.0,12.0,0.375,0,2,1,1,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,10.607655502392344,12.382775119617225,10.607655502392344,1,0,0,0.0
3983,2018-01-03,3,0.0,28.0,18.0,17.0,0.5,0,3,2,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,12.382775119617225,11.923444976076555,10.607655502392344,1,2,2,0.9999975000062501
3984,2018-01-04,1,2.0,31.0,11.0,11.0,0.875,0,4,3,1,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,11.923444976076555,13.038277511961722,10.607655502392344,2,-1,1,0.6666644444518518
3985,2018-01-05,2,1.0,30.0,16.0,15.0,0.75,0,5,4,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,13.038277511961722,15.524038461538462,10.607655502392344,2,0,0,0.0
3986,2018-01-06,0,0.0,1.0,25.0,23.0,0.875,0,6,5,1,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,15.524038461538462,0.6634615384615384,10.607655502392344,1,-1,1,1.9999800001999979
4012,2018-02-01,18,15.0,8.0,3.0,19.0,6.125,0,1,3,2,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,11.923444976076555,10.607655502392344,10.607655502392344,11,7,7,0.4827584542212227
4013,2018-02-02,12,2.0,14.0,4.0,20.0,6.5,0,2,4,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,13.038277511961722,12.382775119617225,10.607655502392344,11,1,1,0.08695648393196351
4014,2018-02-03,14,4.0,2.0,1.0,34.0,7.75,0,3,5,2,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,15.524038461538462,11.923444976076555,10.607655502392344,14,0,0,0.0
4015,2018-02-04,1,0.0,1.0,0.0,2.0,9.0,0,4,6,2,True,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,0.6634615384615384,13.038277511961722,10.607655502392344,1,0,0,0.0
4016,2018-02-05,15,10.0,8.0,7.0,15.0,9.125,0,5,0,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,2,12.398230088495575,10.052884615384615,15.524038461538462,12.382775119617225,11,4,4,0.30769218934915793
4017,2018-02-06,8,13.0,7.0,3.0,8.0,9.75,0,6,1,2,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,2,12.398230088495575,10.607655502392344,0.6634615384615384,12.382775119617225,11,-3,3,0.31578930747931183
4040,2018-03-01,9,18.0,12.0,16.0,17.0,16.0,0,1,3,3,False,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,11.923444976076555,10.607655502392344,10.607655502392344,15,-6,6,0.49999979166675346
4041,2018-03-02,13,12.0,15.0,18.0,20.0,14.875,0,2,4,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,13.038277511961722,12.382775119617225,10.607655502392344,15,-2,2,0.1428570918367529
4042,2018-03-03,31,35.0,22.0,25.0,31.0,15.0,0,3,5,3,True,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,15.524038461538462,11.923444976076555,10.607655502392344,29,2,2,0.0666666555555574
4043,2018-03-04,0,2.0,0.0,2.0,2.0,14.5,0,4,6,3,True,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,0.6634615384615384,13.038277511961722,10.607655502392344,1,-1,1,1.9999800001999979
4044,2018-03-05,10,18.0,16.0,18.0,13.0,14.25,0,5,0,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,2,11.709677419354838,10.052884615384615,15.524038461538462,12.382775119617225,14,-4,4,0.3333331944445023
4045,2018-03-06,15,19.0,9.0,9.0,18.0,13.25,0,6,1,3,False,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,2,11.709677419354838,10.607655502392344,0.6634615384615384,12.382775119617225,14,1,1,0.06896549346017466
4071,2018-04-01,0,2.0,0.0,0.0,0.0,9.25,0,1,6,4,True,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,0.6634615384615384,10.607655502392344,10.607655502392344,1,-1,1,1.9999800001999979
4072,2018-04-02,2,18.0,5.0,1.0,0.0,9.0,0,2,0,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,10.75,10.052884615384615,12.382775119617225,12.382775119617225,11,-9,9,1.3846143195274465
4073,2018-04-03,8,15.0,18.0,22.0,1.0,7.0,0,3,1,4,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,2,10.75,10.607655502392344,11.923444976076555,12.382775119617225,11,-3,3,0.31578930747931183
4074,2018-04-04,13,23.0,16.0,14.0,3.0,6.125,0,4,2,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,10.75,12.382775119617225,13.038277511961722,12.382775119617225,12,1,1,0.0799999680000128
4075,2018-04-05,14,13.0,21.0,18.0,1.0,4.875,0,5,3,4,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,2,10.75,11.923444976076555,15.524038461538462,12.382775119617225,11,3,3,0.2399999040000384
4076,2018-04-06,16,1.0,9.0,18.0,2.0,5.0,0,6,4,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,10.75,13.038277511961722,0.6634615384615384,12.382775119617225,12,4,4,0.2857141836735058
4101,2018-05-01,15,22.0,17.0,9.0,13.0,11.875,0,1,1,5,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,10.607655502392344,10.607655502392344,10.607655502392344,14,1,1,0.06896549346017466
4102,2018-05-02,14,0.0,17.0,15.0,5.0,11.0,0,2,2,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,12.382775119617225,12.382775119617225,10.607655502392344,13,1,1,0.07407404663924198
4103,2018-05-03,18,15.0,17.0,19.0,18.0,12.75,0,3,3,5,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,11.923444976076555,11.923444976076555,10.607655502392344,15,3,3,0.18181812672177977
4104,2018-05-04,12,21.0,14.0,21.0,12.0,13.125,0,4,4,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,13.038277511961722,13.038277511961722,10.607655502392344,16,-4,4,0.2857141836735058
4105,2018-05-05,24,19.0,8.0,20.0,14.0,12.0,0,5,5,5,True,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,15.524038461538462,15.524038461538462,10.607655502392344,18,6,6,0.285714217687091
4106,2018-05-06,2,0.0,0.0,0.0,1.0,12.625,0,6,6,5,True,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,0.6634615384615384,0.6634615384615384,10.607655502392344,2,0,0,0.0
4132,2018-06-01,17,18.0,17.0,29.0,13.0,13.0,0,1,4,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,13.038277511961722,10.607655502392344,10.607655502392344,15,2,2,0.1249999609375122
4133,2018-06-02,24,22.0,23.0,16.0,31.0,12.875,0,2,5,6,True,True,False,False,1,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,15.524038461538462,12.382775119617225,10.607655502392344,19,5,5,0.23255808545160803
4134,2018-06-03,1,0.0,0.0,2.0,0.0,13.125,0,3,6,6,True,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,0.6634615384615384,11.923444976076555,10.607655502392344,1,0,0,0.0
4135,2018-06-04,11,1.0,11.0,8.0,10.0,13.25,0,4,0,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,2,8.891666666666667,10.052884615384615,13.038277511961722,12.382775119617225,10,1,1,0.09523804988664292
4136,2018-06-05,18,9.0,18.0,16.0,15.0,14.5,0,5,1,6,False,True,False,False,1,False,0,0,1,0,0,1,0,0,1,0,2,8.891666666666667,10.607655502392344,15.524038461538462,12.382775119617225,13,5,5,0.3225805411030513
4137,2018-06-06,15,28.0,16.0,14.0,19.0,15.625,0,6,2,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,2,8.891666666666667,12.382775119617225,0.6634615384615384,12.382775119617225,17,-2,2,0.1249999609375122
4162,2018-07-01,0,1.0,0.0,0.0,0.0,8.75,0,1,6,7,True,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,9.382113821138212,0.6634615384615384,10.607655502392344,10.607655502392344,1,-1,1,1.9999800001999979
4163,2018-07-02,19,10.0,14.0,1.0,2.0,8.625,0,2,0,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,10.052884615384615,12.382775119617225,12.382775119617225,11,8,8,0.5333331555556148
4164,2018-07-03,6,10.0,6.0,11.0,8.0,9.75,0,3,1,7,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,10.607655502392344,11.923444976076555,12.382775119617225,10,-4,4,0.4999996875001953
4165,2018-07-04,13,14.0,16.0,10.0,13.0,9.25,1,4,2,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,12.382775119617225,13.038277511961722,12.382775119617225,12,1,1,0.0799999680000128
4166,2018-07-05,4,11.0,8.0,18.0,14.0,9.125,0,5,3,7,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,11.923444976076555,15.524038461538462,12.382775119617225,10,-6,6,0.8571422448983965
4167,2018-07-06,10,15.0,12.0,14.0,16.0,8.25,0,6,4,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,13.038277511961722,0.6634615384615384,12.382775119617225,12,-2,2,0.1818180991735913
4193,2018-08-01,11,7.0,8.0,8.0,14.0,9.25,0,1,2,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,12.382775119617225,10.607655502392344,10.607655502392344,11,0,0,0.0
4194,2018-08-02,9,6.0,13.0,9.0,18.0,9.75,0,2,3,8,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,11.923444976076555,12.382775119617225,10.607655502392344,11,-2,2,0.19999990000005
4195,2018-08-03,7,16.0,12.0,10.0,12.0,10.125,0,3,4,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,13.038277511961722,11.923444976076555,10.607655502392344,12,-5,5,0.5263155124655198
4196,2018-08-04,15,15.0,9.0,15.0,24.0,9.0,0,4,5,8,True,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,15.524038461538462,13.038277511961722,10.607655502392344,13,2,2,0.1428570918367529
4197,2018-08-05,1,0.0,0.0,1.0,2.0,9.0,0,5,6,8,True,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,0.6634615384615384,15.524038461538462,10.607655502392344,1,0,0,0.0
4198,2018-08-06,3,16.0,13.0,15.0,11.0,9.125,0,6,0,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,10.75,10.052884615384615,0.6634615384615384,12.382775119617225,10,-7,7,1.0769222485213472
4224,2018-09-01,10,21.0,11.0,7.0,24.0,10.75,0,1,5,9,True,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,15.524038461538462,10.607655502392344,10.607655502392344,13,-3,3,0.26086945179589055
4225,2018-09-02,1,3.0,0.0,1.0,1.0,9.375,0,2,6,9,True,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,0.6634615384615384,12.382775119617225,10.607655502392344,3,-2,2,0.9999975000062501
4226,2018-09-03,8,7.0,12.0,5.0,11.0,9.125,1,3,0,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,10.052884615384615,11.923444976076555,12.382775119617225,10,-2,2,0.2222220987655007
4227,2018-09-04,9,12.0,9.0,5.0,18.0,9.25,0,4,1,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,10.607655502392344,13.038277511961722,12.382775119617225,10,-1,1,0.10526310249310396
4228,2018-09-05,9,11.0,11.0,13.0,15.0,8.875,0,5,2,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,12.382775119617225,15.524038461538462,12.382775119617225,12,-3,3,0.28571414965992875
4229,2018-09-06,8,13.0,13.0,6.0,21.0,8.625,0,6,3,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,11.923444976076555,0.6634615384615384,12.382775119617225,10,-2,2,0.2222220987655007
4254,2018-10-01,1,8.0,11.0,13.0,19.0,8.875,0,1,0,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,10.052884615384615,10.607655502392344,10.607655502392344,10,-9,9,1.636362148761683
4255,2018-10-02,8,12.0,7.0,15.0,6.0,8.0,0,2,1,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,10.607655502392344,12.382775119617225,10.607655502392344,10,-2,2,0.2222220987655007
4256,2018-10-03,9,16.0,8.0,8.0,13.0,7.5,0,3,2,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,12.382775119617225,11.923444976076555,10.607655502392344,12,-3,3,0.28571414965992875
4257,2018-10-04,8,13.0,12.0,13.0,4.0,6.625,0,4,3,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,11.923444976076555,13.038277511961722,10.607655502392344,10,-2,2,0.2222220987655007
4258,2018-10-05,12,16.0,17.0,12.0,10.0,6.0,0,5,4,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,13.038277511961722,15.524038461538462,10.607655502392344,11,1,1,0.08695648393196351
4259,2018-10-06,14,5.0,19.0,14.0,14.0,5.5,0,6,5,10,True,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,15.524038461538462,0.6634615384615384,10.607655502392344,11,3,3,0.2399999040000384
4285,2018-11-01,12,12.0,10.0,7.0,9.0,8.875,0,1,3,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,11.923444976076555,10.607655502392344,10.607655502392344,11,1,1,0.08695648393196351
4286,2018-11-02,17,15.0,14.0,17.0,7.0,8.875,0,2,4,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,13.038277511961722,12.382775119617225,10.607655502392344,12,5,5,0.3448274673008733
4287,2018-11-03,15,13.0,8.0,10.0,15.0,9.125,0,3,5,11,True,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,15.524038461538462,11.923444976076555,10.607655502392344,12,3,3,0.22222213991772596
4288,2018-11-04,0,0.0,1.0,2.0,1.0,9.375,0,4,6,11,True,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,0.6634615384615384,13.038277511961722,10.607655502392344,1,-1,1,1.9999800001999979
4289,2018-11-05,9,11.0,13.0,6.0,3.0,9.375,0,5,0,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,10.052884615384615,15.524038461538462,12.382775119617225,10,-1,1,0.10526310249310396
4290,2018-11-06,6,7.0,4.0,18.0,16.0,9.125,0,6,1,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,10.607655502392344,0.6634615384615384,12.382775119617225,10,-4,4,0.4999996875001953
4315,2018-12-01,11,14.0,21.0,12.0,10.0,8.5,0,1,5,12,True,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,15.524038461538462,10.607655502392344,10.607655502392344,12,-1,1,0.08695648393196351
4316,2018-12-02,0,0.0,0.0,0.0,1.0,8.125,0,2,6,12,True,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,0.6634615384615384,12.382775119617225,10.607655502392344,0,0,0,0.0
4317,2018-12-03,10,8.0,13.0,11.0,8.0,8.125,0,3,0,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,10.052884615384615,11.923444976076555,12.382775119617225,10,0,0,0.0
4318,2018-12-04,9,6.0,8.0,14.0,9.0,8.375,0,4,1,12,False,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,10.607655502392344,13.038277511961722,12.382775119617225,10,-1,1,0.10526310249310396
4319,2018-12-05,14,11.0,17.0,11.0,9.0,8.75,0,5,2,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,12.382775119617225,15.524038461538462,12.382775119617225,12,2,2,0.15384609467457896
4320,2018-12-06,10,15.0,10.0,10.0,8.0,9.125,0,6,3,12,False,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,2,10.314516129032258,11.923444976076555,0.6634615384615384,12.382775119617225,11,-1,1,0.09523804988664292
4346,2019-01-01,1,0.0,10.0,14.0,8.0,0.0,1,1,1,1,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,10.607655502392344,10.607655502392344,10.607655502392344,1,0,0,0.0
4347,2019-01-02,0,0.0,19.0,9.0,9.0,0.125,0,2,2,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,12.382775119617225,12.382775119617225,10.607655502392344,1,-1,1,1.9999800001999979
4348,2019-01-03,0,0.0,13.0,11.0,8.0,0.125,0,3,3,1,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,11.923444976076555,11.923444976076555,10.607655502392344,1,-1,1,1.9999800001999979
4349,2019-01-04,0,0.0,21.0,6.0,12.0,0.125,0,4,4,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,13.038277511961722,13.038277511961722,10.607655502392344,1,-1,1,1.9999800001999979
4350,2019-01-05,1,0.0,1.0,14.0,14.0,0.125,0,5,5,1,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,15.524038461538462,15.524038461538462,10.607655502392344,1,0,0,0.0
4351,2019-01-06,0,0.0,0.0,3.0,1.0,0.25,0,6,6,1,True,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,0.6634615384615384,0.6634615384615384,10.607655502392344,0,0,0,0.0
4377,2019-02-01,6,9.0,5.0,9.0,17.0,3.75,0,1,4,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,13.038277511961722,10.607655502392344,10.607655502392344,16,-10,10,0.9090904958679564
4378,2019-02-02,4,0.0,2.0,0.0,15.0,3.375,0,2,5,2,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,15.524038461538462,12.382775119617225,10.607655502392344,4,0,0,0.0
4379,2019-02-03,0,0.0,0.0,3.0,0.0,3.875,0,3,6,2,True,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,0.6634615384615384,11.923444976076555,10.607655502392344,0,0,0,0.0
4380,2019-02-04,11,0.0,7.0,11.0,9.0,3.875,0,4,0,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,2,12.398230088495575,10.052884615384615,13.038277511961722,12.382775119617225,9,2,2,0.19999990000005
4381,2019-02-05,7,12.0,8.0,10.0,6.0,5.25,0,5,1,2,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,2,12.398230088495575,10.607655502392344,15.524038461538462,12.382775119617225,11,-4,4,0.4444441975310014
4382,2019-02-06,4,4.0,13.0,3.0,14.0,4.625,0,6,2,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,2,12.398230088495575,12.382775119617225,0.6634615384615384,12.382775119617225,10,-6,6,0.8571422448983965
4405,2019-03-01,7,4.0,6.0,7.0,14.0,6.0,0,1,4,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,13.038277511961722,10.607655502392344,10.607655502392344,10,-3,3,0.3529409688582536
4406,2019-03-02,11,6.0,9.0,1.0,11.0,6.375,0,2,5,3,True,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,15.524038461538462,12.382775119617225,10.607655502392344,11,0,0,0.0
4407,2019-03-03,0,0.0,3.0,0.0,0.0,7.0,0,3,6,3,True,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,0.6634615384615384,11.923444976076555,10.607655502392344,1,-1,1,1.9999800001999979
4408,2019-03-04,9,8.0,5.0,7.0,10.0,7.0,0,4,0,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,2,11.709677419354838,10.052884615384615,13.038277511961722,12.382775119617225,11,-2,2,0.19999990000005
4409,2019-03-05,12,8.0,13.0,19.0,9.0,7.125,0,5,1,3,False,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,2,11.709677419354838,10.607655502392344,15.524038461538462,12.382775119617225,12,0,0,0.0
4410,2019-03-06,21,15.0,9.0,10.0,14.0,7.625,0,6,2,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,2,11.709677419354838,12.382775119617225,0.6634615384615384,12.382775119617225,13,8,8,0.4705880968858538
4436,2019-04-01,12,8.0,9.0,0.0,0.0,6.125,0,1,0,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,10.052884615384615,10.607655502392344,10.607655502392344,11,1,1,0.08695648393196351
4437,2019-04-02,11,15.0,11.0,10.0,1.0,6.625,0,2,1,4,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,10.75,10.607655502392344,12.382775119617225,10.607655502392344,11,0,0,0.0
4438,2019-04-03,8,8.0,11.0,2.0,0.0,6.125,0,3,2,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,12.382775119617225,11.923444976076555,10.607655502392344,11,-3,3,0.31578930747931183
4439,2019-04-04,11,11.0,11.0,9.0,0.0,6.125,0,4,3,4,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,10.75,11.923444976076555,13.038277511961722,10.607655502392344,11,0,0,0.0
4440,2019-04-05,5,7.0,13.0,17.0,0.0,6.125,0,5,4,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,13.038277511961722,15.524038461538462,10.607655502392344,11,-6,6,0.749999531250293
4441,2019-04-06,10,0.0,8.0,11.0,1.0,5.875,0,6,5,4,True,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,10.75,15.524038461538462,0.6634615384615384,10.607655502392344,10,0,0,0.0
4466,2019-05-01,9,10.0,18.0,11.0,4.0,5.125,0,1,2,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,12.382775119617225,10.607655502392344,10.607655502392344,11,-2,2,0.19999990000005
